danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,track.album.name
0.54,0.912,1,-5.678,1,0.0376,0.000108,0.00298,0.134,0.839,146.033,audio_features,6lGzMfAWjZbvPPf8SLpu0Y,spotify:track:6lGzMfAWjZbvPPf8SLpu0Y,https://api.spotify.com/v1/tracks/6lGzMfAWjZbvPPf8SLpu0Y,https://api.spotify.com/v1/audio-analysis/6lGzMfAWjZbvPPf8SLpu0Y,272933,4,Little Girl (feat. Julian Casablancas),Dark Night of The Soul
0.689,0.62,8,-10.415,1,0.0644,0.0614,0.00209,0.147,0.816,81.597,audio_features,0WviwuG403gqtW6bZevBpP,spotify:track:0WviwuG403gqtW6bZevBpP,https://api.spotify.com/v1/tracks/0WviwuG403gqtW6bZevBpP,https://api.spotify.com/v1/audio-analysis/0WviwuG403gqtW6bZevBpP,288360,4,Aquarius,Hair
0.462,0.798,11,-4.17,0,0.0324,3.39E-05,8.36E-05,0.183,0.51,161.969,audio_features,1IecEbWHvnC6kiwDutTUX1,spotify:track:1IecEbWHvnC6kiwDutTUX1,https://api.spotify.com/v1/tracks/1IecEbWHvnC6kiwDutTUX1,https://api.spotify.com/v1/audio-analysis/1IecEbWHvnC6kiwDutTUX1,176695,4,Drunched In Crumbs,Momentary Masters
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,audio_features,0JP9xo3adEtGSdUEISiszL,spotify:track:0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,135090,4,Moonlight,?
0.766,0.606,9,-6.064,1,0.456,0.00266,0,0.166,0.352,160.223,audio_features,3wGXyJGsCf1myH5MooQIqE,spotify:track:3wGXyJGsCf1myH5MooQIqE,https://api.spotify.com/v1/tracks/3wGXyJGsCf1myH5MooQIqE,https://api.spotify.com/v1/audio-analysis/3wGXyJGsCf1myH5MooQIqE,140000,4,The Race,#SantanaWorld (+)
0.693,0.513,8,-7.577,1,0.103,0.0267,0.137,0.178,0.212,127.977,audio_features,67kLHRXKEjlfz6KrdVM0eU,spotify:track:67kLHRXKEjlfz6KrdVM0eU,https://api.spotify.com/v1/tracks/67kLHRXKEjlfz6KrdVM0eU,https://api.spotify.com/v1/audio-analysis/67kLHRXKEjlfz6KrdVM0eU,272813,4,Celebrity Reduction Prayer (feat. Open Mike Eagle & Oddisee),Persona
0.532,0.494,7,-10.654,1,0.0355,0.979,0.674,0.123,0.888,156.278,audio_features,1wRCg1JyRmbJEg9ESOMlVp,spotify:track:1wRCg1JyRmbJEg9ESOMlVp,https://api.spotify.com/v1/tracks/1wRCg1JyRmbJEg9ESOMlVp,https://api.spotify.com/v1/audio-analysis/1wRCg1JyRmbJEg9ESOMlVp,438907,4,Spooky Couch,Como Te Llama?
0.724,0.414,1,-11.19,1,0.0588,0.262,0.111,0.0785,0.719,146.939,audio_features,2zQl59dZMzwhrmeSBEgiXY,spotify:track:2zQl59dZMzwhrmeSBEgiXY,https://api.spotify.com/v1/tracks/2zQl59dZMzwhrmeSBEgiXY,https://api.spotify.com/v1/audio-analysis/2zQl59dZMzwhrmeSBEgiXY,388960,4,Watermelon Man,Head Hunters
0.727,0.685,11,-7.159,0,0.0398,0.0351,4.43E-05,0.0973,0.812,88.75,audio_features,4aKIs5t9TqP59btlCGPrgw,spotify:track:4aKIs5t9TqP59btlCGPrgw,https://api.spotify.com/v1/tracks/4aKIs5t9TqP59btlCGPrgw,https://api.spotify.com/v1/audio-analysis/4aKIs5t9TqP59btlCGPrgw,271893,4,Maneater,H2O
0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,audio_features,4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,196400,4,Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2"
0.569,0.615,0,-6.567,1,0.318,0.034,0,0.0591,0.697,96.347,audio_features,2nS9ZKPQxpPGITt3lZrRjK,spotify:track:2nS9ZKPQxpPGITt3lZrRjK,https://api.spotify.com/v1/tracks/2nS9ZKPQxpPGITt3lZrRjK,https://api.spotify.com/v1/audio-analysis/2nS9ZKPQxpPGITt3lZrRjK,118853,4,Accordion,Madvillainy
0.829,0.792,2,-3.755,0,0.0668,0.726,5.83E-06,0.122,0.758,118.05,audio_features,0tZkVZ9DeAa0MNK2gY5NtV,spotify:track:0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/tracks/0tZkVZ9DeAa0MNK2gY5NtV,https://api.spotify.com/v1/audio-analysis/0tZkVZ9DeAa0MNK2gY5NtV,215507,4,Baby I'm Yours,By Your Side
0.659,0.489,6,-8.399,1,0.413,0.719,0,0.125,0.822,76.07,audio_features,2prHMFvkekTqqFdB5r6QJJ,spotify:track:2prHMFvkekTqqFdB5r6QJJ,https://api.spotify.com/v1/tracks/2prHMFvkekTqqFdB5r6QJJ,https://api.spotify.com/v1/audio-analysis/2prHMFvkekTqqFdB5r6QJJ,225336,4,Souvenir,So The Flies Don't Come
0.737,0.745,9,-5.944,1,0.0351,0.0176,0.381,0.306,0.629,115.989,audio_features,2ThdB23G9Rgf1ExndFGEEg,spotify:track:2ThdB23G9Rgf1ExndFGEEg,https://api.spotify.com/v1/tracks/2ThdB23G9Rgf1ExndFGEEg,https://api.spotify.com/v1/audio-analysis/2ThdB23G9Rgf1ExndFGEEg,222360,4,Tap Out,Comedown Machine
0.909,0.651,7,-9.693,1,0.287,0.0576,1.95E-05,0.107,0.473,92.244,audio_features,0WyVk0P8TbNUBeUOaSAdfn,spotify:track:0WyVk0P8TbNUBeUOaSAdfn,https://api.spotify.com/v1/tracks/0WyVk0P8TbNUBeUOaSAdfn,https://api.spotify.com/v1/audio-analysis/0WyVk0P8TbNUBeUOaSAdfn,287720,4,The Guidelines,A Book of Human Language
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4,Still D.R.E.,2001
0.585,0.909,8,-6.474,1,0.0707,0.0891,9.70E-05,0.119,0.758,93.372,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210747,4,Nice For What,Scorpion
0.677,0.415,9,-9.869,0,0.0304,0.541,0.0136,0.104,0.487,107.107,audio_features,15pYj5ZiUJgBydzD7w6NbJ,spotify:track:15pYj5ZiUJgBydzD7w6NbJ,https://api.spotify.com/v1/tracks/15pYj5ZiUJgBydzD7w6NbJ,https://api.spotify.com/v1/audio-analysis/15pYj5ZiUJgBydzD7w6NbJ,228640,4,Trouble Man,Trouble Man: 40th Anniversary Expanded Edition
0.252,0.898,2,-4.222,1,0.0645,0.00316,0.00114,0.199,0.159,146.811,audio_features,68LAG7FkseIJOqwtRjnylF,spotify:track:68LAG7FkseIJOqwtRjnylF,https://api.spotify.com/v1/tracks/68LAG7FkseIJOqwtRjnylF,https://api.spotify.com/v1/audio-analysis/68LAG7FkseIJOqwtRjnylF,358642,4,Johan Von Bronx,Tyranny
0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,audio_features,7hQJA50XrCWABAu5v6QZ4i,spotify:track:7hQJA50XrCWABAu5v6QZ4i,https://api.spotify.com/v1/tracks/7hQJA50XrCWABAu5v6QZ4i,https://api.spotify.com/v1/audio-analysis/7hQJA50XrCWABAu5v6QZ4i,209413,4,Don't Stop Me Now - Remastered 2011,Jazz (Deluxe Remastered Version)
0.703,0.724,7,-10.818,1,0.0467,0.73,0,0.518,0.963,131.821,audio_features,7v1858htfU0srTDwhxeka8,spotify:track:7v1858htfU0srTDwhxeka8,https://api.spotify.com/v1/tracks/7v1858htfU0srTDwhxeka8,https://api.spotify.com/v1/audio-analysis/7v1858htfU0srTDwhxeka8,155173,4,Chain Gang,Swing Low
0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,audio_features,0JL9TZip7mL7iwC5EOkALS,spotify:track:0JL9TZip7mL7iwC5EOkALS,https://api.spotify.com/v1/tracks/0JL9TZip7mL7iwC5EOkALS,https://api.spotify.com/v1/audio-analysis/0JL9TZip7mL7iwC5EOkALS,199160,4,Lady Brown (feat. Cise Starr from CYNE),Metaphorical Music
0.619,0.672,0,-6.429,0,0.0385,0.0538,0.0699,0.0518,0.805,94.998,audio_features,3AgrcbfCREzW0kGFUNJnqW,spotify:track:3AgrcbfCREzW0kGFUNJnqW,https://api.spotify.com/v1/tracks/3AgrcbfCREzW0kGFUNJnqW,https://api.spotify.com/v1/audio-analysis/3AgrcbfCREzW0kGFUNJnqW,256787,4,Rocky's Late Night,Francis Trouble
