track.name,track.id,track.album.name,simplified_genre
Selfless,2t0wwvR15fc3K1ey8OiOaN,The New Abnormal,rock
Eternal Summer,6IRzBP4gVoV4D2zHmocoWy,The New Abnormal,rock
Respiration,5mxVKAuunOKqcBfR5ivbRf,Mos Def & Talib Kweli Are Black Star,hip hop
Plastic Beach (feat. Mick Jones and Paul Simonon),2nZ33CKRbgpJQJJQKHuGXb,Plastic Beach,rock
A Certain Romance,2CbtdkBeW9Znt4vXTOafAl,"Whatever People Say I Am, That's What I'm Not",rock
When The Sun Goes Down,0ZRrJTPXDToRJ2iLo9oLrW,"Whatever People Say I Am, That's What I'm Not",rock
City Club,6Ig2iLUX11ZNpI7EBCZqyt,City Club,rock
Dope on a Rope,76c1AuZodByXM3X2k48wju,City Club,rock
I'll Be Around,1EXMtjti643XyQLiGDdki0,City Club,rock
The Daisy Chain,2iijuy8T2fbB3qJgptndFp,City Club,rock
Alien Crime Lord,4S5T3NPeWSPqgb3ElxL8MN,Alien Crime Lord,rock
Standing Next To Me,7d4W06sKxGEm40rYdQgEtt,The Age Of The Understatement,rock
Strange Tidings,6y65bThNd87eXzK90zVvBa,AHJ,rock
Pretty Old Man,09fNyeCFUbrTor4DY7kX2b,Boys Missed The Bus,rock
NAN CHUN 난춘,320twJYO0LC64eWCuCC5vj,NAN CHUN 난춘,rock
Dong 덩,6kcnFRTsf7DaJWwu1QbBvd,Nonadaptation 비적응,rock
Stranger 이방인,6hrEjVNhEqFSdmrtCJVPVt,Nonadaptation 비적응,rock
Wi Ing Wi Ing,66UcQu5LBo2A7AC0A5r0lI,20,rock
Secret Door,7IUBw7EUgcjzGV6zv9fkLX,Humbug,rock
Pattern,0kA5wK89nsYHQ22UKzcFGv,Everything You've Come To Expect (Deluxe Edition),rock
Bad Habits,4lJCw7GFijl5Kn2iizagwU,Everything You've Come To Expect (Deluxe Edition),rock
Dracula Teeth,1x9EqJg2UOhlhDAaTUyOIZ,Everything You've Come To Expect (Deluxe Edition),rock
